tag,bin,workers,mode,elapsed_s,connected_headers,headers_per_s,batches_2000,staged,invalid_rejects,distinct_locator_hashes,blocks_received
legacy_w1,spvnode,1,headers,90,80000,888.9,2217,0,2176,41,0
legacy_w4,spvnode,4,headers,90,84000,933.3,1686,0,1643,43,0
ts_w1,spvnode_ts,1,headers,90,86000,955.6,1063,1019,0,44,0
ts_w2,spvnode_ts,2,headers,90,76000,844.4,2193,2154,0,39,0
ts_w4,spvnode_ts,4,headers,90,78000,866.7,2027,1987,0,40,0
ts_w8,spvnode_ts,8,headers,90,78000,866.7,1714,1674,0,40,0
legacy_b1,spvnode,1,blocks,90,0,0.0,0,0,0,0,0
legacy_b4,spvnode,4,blocks,90,0,0.0,0,0,0,0,0
ts_b1,spvnode_ts,1,blocks,90,0,0.0,0,0,0,0,0
ts_b4,spvnode_ts,4,blocks,90,0,0.0,0,0,0,0,0
ts_b8,spvnode_ts,8,blocks,90,0,0.0,0,0,0,0,0
