tag,bin,workers,mode,elapsed_s,connected_headers,headers_per_s,batches_2000,staged,invalid_rejects,distinct_locator_hashes,blocks_received
legacy_w1,spvnode,1,headers,90,68000,755.6,1431,0,1396,35,0
legacy_w4,spvnode,4,headers,91,74000,813.2,1958,0,1920,38,0
ts_w1,spvnode_ts,1,headers,90,74000,822.2,1156,1118,0,38,0
ts_w2,spvnode_ts,2,headers,90,78000,866.7,1597,1557,0,40,0
ts_w4,spvnode_ts,4,headers,90,76000,844.4,1201,1162,0,39,0
ts_w8,spvnode_ts,8,headers,90,74000,822.2,2154,2116,0,38,0
legacy_b1,spvnode,1,blocks,90,0,0.0,0,0,0,0,0
legacy_b4,spvnode,4,blocks,90,0,0.0,0,0,0,0,0
ts_b1,spvnode_ts,1,blocks,90,0,0.0,0,0,0,0,0
ts_b4,spvnode_ts,4,blocks,90,0,0.0,0,0,0,0,0
ts_b8,spvnode_ts,8,blocks,90,0,0.0,0,0,0,0,0
